Produtos;Média de VLR_MERCADORIA
CHAPA FQ 2,25 X 1500 X 4234 MM SAE 1008; 41.318,48 
CHAPA FQ 2,25 X 320 X 1700 MM SAE 1010; 50.011,99 
CHAPA FQ 3,0 X 1700 MM S 235 JR; 207.745,17 
CHAPA FQ 5,0 X 50 X 1800 MM. S 235 JR; 200.594,07 
CHAPA GROSSA DE ACO; 188.576,66 
CHAPA GROSSA DE AÇO; 275.893,50 
CHAPA GROSSA DO LCG - CARBONO MAIOR QUE 10; 144.051,06 
CHAPA LAMINADA A FRIO DE AÇO; 353.872,40 
CHAPA LAMINADA A QUENTE DE AÇO; 286.635,24 
CHAPA LAMINADA A QUENTE DE AÇO INOXIDAVEL AISI304; 507.831,51 
CHAVE SEG 24VDC SIC STR1SASM(1); 108.644,44 
CHIP DE PNEU 55; 40.448,48 
CHIP DE PNEUS CP 70/14; 10.988,01 
CIMENTO CP II F40 ESP GRANEL; 22.205,74 
CIMENTO CP V ARI RS; 8.534,68 
CIMENTO CP V ARI RS GRANEL; 19.565,09 
CIMENTO CP V-ARI ESTRUTURA GRANEL; 19.208,15 
CIMENTO CPIV-32 RS; 20.562,51 
CIMENTO CPV ARI GRANEL; 20.851,30 
CIMENTO PREMIUM CP V ARI GRANEL; 456.017,10 
CINTA POLIES 3000KG 90X200MM 22090Z; 172.895,00 
CIR MIN CO-PROD ALUMINA 75-85  P.A; 378,67 
CIRC MIN CO - PROD ALUMINA 75-85 P.A; 362,71 
CIRC- MIN MAGNES 0,00-4,75mm SUB; 23.511,87 
CLARISINA; 35.964,30 
CLARISINA PREMIUM; 35.823,92 
CLINQUER; 9.620,37 
CLINQUER NACIONAL-GRANEL; 11.704,09 
CLORETO DE POTASSIO; 64.654,13 
CLORETO DE POTASSIO  - KCL; 74.703,27 
CLORETO DE POTASSIO - 60% K20 SOL. H20; 58.412,59 
CLORETO DE POTASSIO  60% MINERL SIMPLES; 80.480,62 
CLORETO DE POTASSIO 60% K20 GR; 63.605,32 
CLORETO DE POTASSIO 60,5 K20; 62.055,55 
CLORETO DE POTASSIO 60,5 K20 WHITE FINE; 57.899,20 
CLORETO DE POTASSIO GR; 71.958,25 
CLORETO DE POTASSIO GR TEOR MIN 60% K20; 68.456,29 
CLORETO DE POTASSIO GRANULADO; 59.095,08 
CLORETO DE POTASSIO GRANULADO C/ TEOR DE K20 SUP. A 60%; 66.197,61 
CLORETO DE POTASSIO STAND; 69.851,48 
CLORETO DE POTASSIO STANDARD; 54.360,49 
CLORETO DE POTASSIO VERMELHO K2O 60 %- NAC; 47.242,44 
CLORETO POT GRAN C/TEOR K20 SUP 60%; 58.278,90 
CLORETO POTASSIO GR- CL 60%K20; 61.830,18 
CLORETO POTASSIO GRANULADO 60% k20; 60.940,01 
COAGULO VIRGEM A GRANEL; 331.177,94 
COKE BREESE SOL; 58.739,29 
COM-A96-6-BR 25 KG PS K F04 J059; 311.674,96 
COM-B64-5-BR 25 KG PS K F04 J059; 423.457,00 
COM-B65G-5-BR 25 KG PS F04 J059; 131.333,89 
COM-B65G-5-BR 500 KG BB L H08 J206; 90.577,27 
COM-B77-5-BR 25KG PS K F04 J059; 194.836,69 
COM-F51G-5-BR 500 KG BB L H08 J206; 149.725,18 
COM-F52-5-BR 25 KG PS K F04 J059; 144.124,41 
COM-F53-5-BR 25 KG PS K F04 J059; 68.954,54 
COM-F55-5-BR 25 KG PS K F04 J059; 352.752,77 
COMPONENTE FERTILIZANTE ORGANICO; 7.233,60 
COMPOSTO ORGANICO; 7.875,45 
COMPOSTO ORGANICO - SIMPLES; 5.117,60 
COMPOSTO ORGANICO GRANEL; 8.832,63 
CONCENTRADO; 32.036,55 
CONCENTRADO APATTICO; 26.014,15 
CONCENTRADO DE COBRE; 533.814,09 
CONCENTRADO DE ESPODUMENIO UMIDO; 123.976,01 
CONCENTRADO DE MANGANES; 24.843,26 
CONCENTRADO DE MANGANÊS GRANULADO; 31.583,09 
CONCENTRADO DE MANGANES SINTER FEED; 33.280,68 
CONCENTRADO DE VERMICULITA SUPERFINO; 4.088,39 
CONCENTRADO FILTRADO GROSSO; 15.076,61 
CONCENTRADO FOSFATICO GROSSO UMIDO CMISS; 35.312,38 
CONCENTRADO FOSFATICO SECO CMISS; 37.628,13 
CONCENTRADO FOSFATICO SECO UMA; 19.577,05 
CONCENTRADO MANG. SINTER FEED; 65.728,96 
CONCENTRADO SECO; 16.177,62 
CONCORDE RN BALDE 20L; 63.364,69 
CONCRETO REFRAT./VANDERLEIA; 18.157,80 
CONCRETO REFRATARIO; 120.754,64 
CONCRETO REFRATARIO ALUMINOSO CASTOGNI-3392; 167.192,38 
CONDICIONADOR DE SOLO FISICO QUIMICO CLASSE E  ( GESSO AGRICOLA); 7.902,62 
"CONDICIONADOR DE SOLO FISICO QUIMICO CLASSE""E"" ( GESSO AGRICOLA)"; 6.736,98 
CONEC ENG RAP MA FE NPT 3/8`` (I); 111.722,29 
CONF. NF; 183.584,99 
CONJ CONJ_ IRRIGAPN10_ASPERS 600 6000; 122.588,36 
CONTENTOR FLEXIVEL 900x900x1300mm CAPACIDADE 1500 KG; 3.749,63 
COPEFOS BIG BA; 153.166,72 
CO-PROD MAGN ELET CCM RECUP; 19.763,01 
COQUE; 48.022,41 
COQUE BREEZE; 30.908,88 
COQUE BRUTO; 63.427,27 
COQUE CALCINADO; 110.563,11 
COQUE DE ALTO FORNO; 55.814,34 
COQUE DE HULA IMPORTADOS GRANULOMETRIA INFERIOR A 80 MM; 78.202,12 
COQUE DE HULHA - SMALL COKE - SCROOGE; 52.853,40 
COQUE DE HULHA - SMALL COKE HING HAO HAI; 53.045,59 
COQUE DE HULHA (COLOMBIA); 58.611,94 
COQUE DE HULHA COM GRANULOMETRIA INFERIOR A 80MM; 67.571,77 
COQUE DE PET. NAO CALCINADO; 57.320,33 
COQUE DE PETROLEO; 67.826,95 
COQUE DE PETROLEO CALCINADO; 26.739,46 
COQUE FINO SMALL COKE SOL; 54.388,31 
COQUE FINO SMALL COQUE-SOL; 45.943,31 
COQUE IMPORT ATE ELLIREA; 0,01 
COQUE IMPORT ATE HAMBURG; 64.362,59 
COQUE IMPORTADO MTE; 59.484,78 
COQUE MEDIO TEOR DE ENXOFRE; 27.356,15 
COQUE METALURGICO; 73.826,64 
COQUE METALURGICO AUSTRALIANO - AU; 55.004,34 
COQUE METALURGICO BRUTO; 67.698,87 
COQUE METALURGICO GERDAU - AC; 71.816,11 
COQUE MTE; 73.972,64 
COQUE NACIONAL BTE BABET 0-50; 33.127,19 
COQUE NACIONAL SIZE OVER: 90MM SIZE UNDER; 42.845,48 
COQUE PETROLEO; 78.385,98 
COQUE PETROLEO C 82 A 90 %; 38.309,26 
COQUE PETROLEO CALCINADO; 134.520,56 
COQUE PETROLEO IMPORTADO ALTO ENXOFRE; 18.660,84 
Coque Reativo Baixo Fosforo; 66.430,47 
COQUE SECO - 1 A 4 MM; 58.688,75 
COQUE SMALL; 59.366,93 
COQUE VERDE; 34.050,14 
COQUE VERDE DE PETROLEO; 44.326,49 
COQUE VERDE DE PETRÓLEO; 32.503,58 
COQUE VERDE DE PETROLEO (NAO CALCINADO); 30.618,40 
COQUE VERDE DE PETROLEO ATE; 29.471,50 
COQUE VERDE DE PETROLEO GRAN. 0-10; 41.178,02 
COQUE VERDE DE PETROLEO MTE; 22.706,84 
COQUE VERDE DE PETRÓLEO MTE; 24.534,56 
COQUE VERDE DE PETROLEO NÃO CALC; 56.741,93 
COQUE VERDE PETROLEO BENEF N CALC 6,5% GROSSO; 45.115,18 
COQUE VERDE PETROLEO BENEF N CALC 6,5% GROSSO CVP IMPORTADO - 6V5; 41.579,64 
COQUE VERDE PETROLEO NACIONAL - CP; 85.584,68 
CORON 25-0-0 +0.5%B (20LTS); 156.072,64 
CORPO MOED LIG BX CR DIAM CORP 63,50 MM; 238.365,65 
CORPO MOEDOR; 231.763,56 
CORPO MOEDOR 12,50 A 12,70M; 415.841,77 
CORPO MOEDOR BARRA DE AÇO; 296.830,00 
CORR ACIDEZ CALC AGRC. DOLOMITICO; 4.156,23 
CORR. ACI.MINERAL.CALC.. AGRIC.CALCITICO; 3.935,57 
CORR.ACID.MINERAL-CALC.AGRIC. DOLOMITICO; 4.179,20 
CORR.ACIDEZ CALC. AGRC. DOLOMITICO; 3.857,96 
CORREDICA DIR TRO RAP S104781 (P); 45.332,43 
CORRETIVO ALUMINOSO; 3.359,15 
CORRETIVO DE ACIDEZ; 4.535,33 
CORRETIVO DE ACIDEZ- CALCARIO AGRICOL; 4.621,58 
CORRETIVO DE ACIDEZ, CALCARIO AGRICOLA; 4.162,05 
CORRETIVO DE ACIDEZ, CALCARIO AGRICOLA, DOLOMI; 3.901,50 
CP II - E 32 RS NACIONAL 50KG; 6.398,18 
CP II E 32 RS ENSACADO 50 KG; 17.306,00 
CP II-E-32 RS CAMPEAO 50KG; 12.712,73 
CP II-E-32 RS NACIONAL 50KG; 5.592,73 
CP III-32 RS CAMPEAO 50KG; 13.110,00 
CP IV-32-RS GRANEL; 22.852,07 
CP V ARI MAX BIG BAG; 11.136,31 
CP V-ARI MAX BIG BAG; 11.816,63 
CP V-ARI MAX NACIONAL 40KG; 19.821,82 
CP V-ARI MAX RS NACIONAL 40KG; 98.458,11 
CP V-ARI RS BIG BAG; 6.224,02 
CPV6092S1CS FBR 20903; 253.845,89 
CPV6592D1CS FBR 20901; 710.822,13 
CPV7080S2CP FBR 22290; 479.871,01 
CROMITA COMPACTA SL; 6.719,25 
CROMITA CONC S3 0,00-0,60mm SL BB; 235.540,98 
"CROPLEX 12%N TOTAL; 40% P2O5 SOL"; 81.234,35 
"CROPLEX 12%N TOTAL; 40% P2O5 SOL."; 93.660,90 
CS124375 MGUFAY 2931 ELES; 739.954,45 
CS363 MGGHA 0071; 146.332,70 
CT1205C75-90  FSHH  21775; 388.164,53 
CT1205C75-90 FSHH 21775; 469.313,35 
CT2201C70-78 FSH 21775; 402.513,75 
CT2201C70-78 FSHH 21775; 330.992,57 
CTN 1 1/2 2X; 99.434,91 
CTN 2  X  1/4 NBR; 120.183,74 
CTN 2  X  1/8 NBR; 110.031,72 
CTN 3 X  1/2 NBR; 98.388,43 
CTN 3 X  1/4 NBR; 95.402,80 
CTN 3 X  3/8 NBR; 154.224,18 
CTN 3 X  5/16  NBR; 19.816,05 
CTN 3 X  5/16 NBR; 42.289,20 
CTN 75 X 6MM NBR; 126.109,92 
CURVA-BOL C45JGSTE 700; 123.493,05 
CURVA-BOL C45JGSTE-L 900; 7.522,59 
CURVA-FLS C90FF.10/16XP 100; 59.880,45 
CURVA-FLS C90FF.10XP 250; 241.352,61 
CVMP - GRANEL; 24.556,93 
DBM-CDE 10 KG BK K H08 J403; 150.839,12 
DDF-B67S-B-BR 500 KG BB L T07 J215; 163.910,23 
DDF-F50S-5-BR 250 KG BB L H08 J203; 182.318,39 
DDF-F51S-5-BR 25 KG PS K F04 J059; 329.989,11 
DDG (CBI); 69.971,75 
DDG FS ESSENCIAL; 66.636,23 
DDG FS ESSENTIAL; 67.832,43 
DDG MIX A GRANEL 40%; 58.725,94 
DDGS; 60.008,38 
DDGS MIX A GRANEL 30%; 54.528,81 
DDM-F48V-03-BR 25 KG PS K F04 J058; 359.542,06 
DDR-B81-5-BR 25 KG PS K F04 J059; 146.336,05 
DENTE E ESPAÇADOR; 587.524,86 
DENVER POLIASFALTO; 211.328,95 
DESCARTE BARRA GRELHA; 335.280,00 
DESPERDICIO E RESIDUOS DE FERRO SILICIO; 25.738,05 
DESPERDICIOS , RESIDUOS  DE BORRACHA; 10.450,00 
DESSULRIM 82; 5.234,36 
DEVOLUCAO DE SILICATO DE MAGN BRUTO; 18.756,11 
DGMS + S + BAYOVAR 20; 21.793,39 
DGMS/30 + BAYOVAR 20; 21.163,70 
DID-A89CRS12BR 500 KG BB L H08 J206; 295.947,84 
DID-B63S-5-BR 25KG PS K F04 J059; 112.333,15 
DID-B78-5-BR 25 KG PS K F04 J059; 90.721,22 
DID-S64S-5BR 25 KG PS K F04 J059; 240.871,85 
DISCO MAQ PRO KTO GN1615(P); 2.010,84 
DISTR ELETR CS128744A00V; 961.169,78 
DIVASIL BOM PLAST 20KG; 368.394,06 
DIVERSOS; 37.417,28 
DOLOMITA FINA; 2.682,62 
DOLOMITA GROSSA; 2.880,00 
DOLOMITICO SINTERIZAÇÃO; 2.491,86 
DOLOMITO SINTERIZAÇAO; 2.496,50 
DOWSIL ( TM) Metal de silicone; 257.610,35 
DP-B71-5-BR 25 KG PS K F04 J059; 130.004,05 
DRY PIT BRUTO; 365,07 
DUNITO BITOLADO; 1.497,52 
DV - SUPERF.TRIPLO GR 46/36 PS205 VIDIRETA; 116.061,15 
ECOCARBO; 39,65 
ECOMIX; 736,21 
ECOVAM 21013 BQ 02 GRANEL; 23.670,59 
ECOVAM 45013 BQ; 17.901,39 
EMBALAGENS; 41,20 
ENCHIMENTO SGC BE- 550 3 CAMADAS; 282.484,11 
ENTULHO DE CONSTRUCAO CIVIL INS; 186,78 
ENXOFRE; 34.529,19 
ENXOFRE AGRO; 27.040,33 
ENXOFRE BRUTO GRANEL; 68.976,61 
ENXOFRE CONTAMINADO - KG; 8.509,44 
ENXOFRE EM PEDRAS; 49.421,84 
ENXOFRE FERTILIZANTE; 18.175,50 
ENXOFRE GRANULADO; 36.677,33 
ENXOFRE IMPORTADO FERTILIZANTE; 29.838,93 
ENXOFRE IMPORTADO QUIMICO; 49.318,27 
ENXOFRE NAO ESPECIFICADO; 52.255,21 
ENXOFRE NAO ESPECIFICADO - KG; 24.967,08 
ENXOFRE NAO ESPECIFICADO - KG ONU 1350 ENXOFRE 4.1 III; 23.325,52 
ENXOFRE PASTILHADO; 33.302,53 
ENXOFRE SÓLIDO; 26.085,31 
EQUIP. E MAQUINAS OPERATRIZES; 160.182,03 
EQUIPAMENTOS PEÇAS E ACESSORIOS DIVERSOS; 111.679,42 
ESC. SINT. SINTERIZADA TECSLAG 6007; 54.262,91 
ESCÓRIA; 3.680,71 
ESCORIA BASICA; 1.973,92 
ESCÓRIA BÁSICA; 1.985,45 
ESCORIA BASICA REATIVIDADE ALTA; 1.118,94 
ESCORIA BRITADA; 4.708,13 
ESCORIA BRUTA; 38.017,80 
ESCORIA BRUTA DE ALTO FORNO; 339,71 
ESCORIA BRUTA RICA MN28; 359,03 
ESCORIA DE ALTO FORNO; 374,83 
ESCORIA DE ALTO FORNO GRANULADA; 1.179,41 
ESCORIA DE FERRO SILICIA GRANULOMETRIA 0X200MM; 15.860,68 
ESCORIA DE FERRO SILICIO; 31.502,88 
ESCORIA DE FERRO SILICIO GRAN.: 0 - 200MM; 11.703,96 
ESCORIA DE FERSI 0X200MM; 11.371,44 
ESCORIA DE FESI 0X200MM; 10.781,48 
ESCORIA DE FESI 50 0X200MM; 12.805,33 
ESCORIA DE FESI 50% 0X200MM; 11.446,96 
ESCORIA DE NIQUEL; 26.903,92 
ESCORIA DE REFINO; 11.339,44 
ESCORIA DE SILICIO - LIMPEZA DE PANELA; 50.389,65 
ESCORIA DE SILICIO - LIMPEZA DE TAMPA DE PANELA; 60.263,24 
ESCORIA DE SILICIO LIMPEZA DE PANELA; 46.928,78 
ESCÓRIA DE SILÍCIO METÁLICO; 44.867,43 
ESCORIA DE SIMET; 8.682,96 
ESCORIA DE SIMET 0X200MM; 8.857,03 
ESCÓRIA DESSSULFULRAÇÃO; 1.346,74 
ESCORIA DESSULF FRAC 0-80MM; 509,34 
ESCORIA DESSULF FRAC 20MM; 391,51 
ESCORIA FORNO; 560,67 
ESCORIA FORNO PANELA; 2.561,45 
ESCORIA FORNO PANELA ( INS); 2.841,10 
ESCORIA FORNO PANELA (INS); 1.239,56 
ESCORIA GRANULADA; 9.072,00 
ESCÓRIA GRANULADA; 1.449,00 
ESCORIA GRANULADA AF; 1.598,70 
ESCORIA GRANULADA AF (BIORREDUTOR) (INS); 233,41 
ESCORIA GRANULADA AF (COQUE) (INS); 3.107,57 
ESCORIA GRANULADA AF BIORREDUTOR; 220,05 
ESCORIA GRANULADA AF BIORREDUTOR INS; 222,31 
ESCORIA GRANULADA AF COQUE INS; 2.941,90 
ESCORIA GRANULADA DE ALTO FORNO; 485,44 
ESCORIA GRANULADA FESIM; 428,74 
ESCORIA GUSA C FINOS METALIC; 550,73 
ESCORIA MOIDA; 2.223,90 
ESCORIA MOIDA REDUCAO; 12.321,22 
ESCORIA REDUCAO; 1.005,95 
ESCORIA REFINO; 17.616,33 
ESCORIA REFINO NIQUEL GROSSA; 31.413,30 
ESCORIA SINT. SINTERIZADA TECSLAG 6001; 49.994,34 
ESCORIA SINTETICA MESCLADA TECSLAG; 38.006,67 
ESPAC MAD C/ CUNHA 80X120X2400MM; 68.723,31 
ESPS - SUCATA ESTAMPARIA SOLTA; 62.225,93 
ESTAMPARIA SOLTA - ESPS; 39.637,50 
ESTANHO METALICO - ANODO CSN SM7440; 4.493.321,70 
ESTANHO METALICO GRAU A - ANODOS; 6.302.421,30 
ESTANTE EM AÇO COM 6 PRATELEIRAS CHAPA 26 C/ REFORÇO COLUN 18 CINZA MEDINDO; 58.688,88 
ESTERCO ANIMAL - ESTERCO DE VACA; 2.883,66 
ESTERCO DE GALINHA CE; 6.038,96 
ESTRADO METALICO BERCO BFS PRETO; 61.798,15 
EXTRE-FL-PTA EFP.16 600; 367.021,91 
EXTRE-FL-PTA EFPAV.10X 500; 205.633,36 
EXTRE-FLPTA EFPAV.10XP 200; 224.917,10 
F.MAQUINA AÇO NÃO LIG SEÇÃO CIRC BITOLA 5,50 mm 1023; 77.745,37 
FARELO DE ALGODÃO; 44.829,24 
FARELO DE MILHO (DDGS); 52.689,00 
FARELO DE SOJA; 79.159,98 
FARELO DE SOJA  HYPRO 48; 110.977,71 
FB CRUDE - OXIDO DE ALUMINIO FB CRUDE; 1.759,60 
FECOGELMIX/100KG/BG; 74.787,19 
FECOMIX 400/25KG/RF; 61.102,96 
FECOMIX 425 (I) /1200 KG/BG; 75.312,00 
FEIJAO CARIOCA - MAQUINADO; 228.893,86 
FEIJAO CARIOCA A GRANEL; 144.445,21 
FEIJAO CARIOQUINHA A GRANEL; 159.301,14 
FEIJAO CARIOQUINHA DO PRODUTOR P/ ATAC. E INDUST. SC 60 KG UN PRODUTOR/EXTRATOR; 166.323,08 
FEIJAO COMERCIAL RAJADO. SAFRA 2024 1; 194.500,00 
FEIJAO PRETO KG - BENEFICIADO; 102.266,67 
FELDSPATO AMG M2; 7.901,06 
FELDSPATO AMG M3; 3.708,90 
FEMAC BITOLADO 3X10 MM; 157.318,65 
FEMNAC; 311.400,50 
FeMnaC  granulado Mn 74  P30; 237.640,80 
FEMNAC 10 X 60 MM; 431.278,84 
FEMNAC BITOLADO 3X10MM; 178.861,92 
FeMnAC granulado BP; 230.708,07 
FEMNAC GRANULADO MN; 220.889,79 
FeMnaC granulado Mn 74 P30; 266.524,16 
FeMnmC granulado M2 Mn 75; 332.317,77 
FeP Britado 0-60mm; 2.500,00 
FERMICRO - TORTA DE MANGANES; 8.426,45 
FERRO CALCIO SILICIO FINO ANGLO 0,1X1,0A; 397.393,05 
FERRO CALCIO SILICIO GRANULADO; 403.443,39 
FERRO CROMO; 205.614,80 
FERRO CROMO (FeCr) AC 10 A 60 MM; 252.278,39 
FERRO CROMO A/C; 208.947,17 
FERRO CROMO ALTO CARBONO; 241.572,35 
FERRO CROMO BC; 679.216,46 
FERRO GUSA; 90.596,80 
FERRO GUSA ACIARIA; 81.199,11 
FERRO GUSA ACIARIA Si = 0,200 a 1,000 PA SA; 135.837,18 
FERRO GUSA ACIARIA Si=1,500 MAX PA SA; 96.874,48 
FERRO GUSA CINZENTO; 96.804,06 
FERRO GUSA CINZENTO SI=2,10 a 2,900 PA SB; 167.723,68 
FERRO GUSA CIZENTO; 88.886,30 
FERRO GUSA DE ACIARIA; 92.309,76 
FERRO GUSA NODULAR; 95.037,08 
FERRO GUSA NODULAR ESPECIAL; 72.790,69 
FERRO GUSA NODULAR SI 0,300 A 1,000 PB SB; 74.198,61 
FERRO GUSA NODULAR SI=0,001 A 0,500 PB MNB SB; 84.293,82 
FERRO GUSA NODULAR SI=1,000 MAX; 50.259,10 
FERRO GUSA SEMI NODULAR; 93.140,56 
FERRO GUSA TIPO 1; 88.716,20 
FERRO GUSA TRIPLE FIVE; 85.088,85 
FERRO GUSA TRIPLE FIVE SI=0,500 MAX P=0,031 A 0,050; 89.711,37 
FERRO GUSA TRIPLE FIVE SI=0,500 MX P=0,001 A 0,015 MN=0,050 MX; 83.960,09 
FERRO GUSA TRIPLE FIVE SI=0,500 MX P=0,016 A 0,020 MN=0,050 MX; 86.330,38 
FERRO GUSA TRIPLE FIVE SI=0,500 MX P=0,021 A 0,025 MN=0,050 MX; 86.346,26 
FERRO GUSA UNICA; 81.040,19 
FERRO MANGANÊS; 173.717,69 
FERRO MANGANES AC - 10 X 60 MM; 438.450,38 
FERRO MANGANES ALTO CARBONO - GRAN 10 A 50 MM; 335.856,50 
FERRO MANGANES ALTO CARBONO - GRAN. 10 A 50 MM; 325.792,16 
FERRO MANGANES ALTO CARBONO - GRANULADO 10MM-60MM; 309.687,22 
FERRO MANGANES ALTO CARBONO - GRANULADO 10MM-75MM; 287.330,93 
FERRO MANGANES ALTO CARBONO 10 X 60MM; 352.982,92 
FERRO MANGANES ALTO CARBONO GRAN 10 A 75 MM; 280.480,41 
FERRO MOLIBDENIO; 6.431.320,25 
FERRO NIQUEL; 600.615,47 
FERRO NIQUEL - BORRA BRUTA; 62.699,07 
FERRO SIDERURGICO 1/4CM; 69.506,35 
FERRO SILICIO; 223.298,83 
FERRO SILÍCIO ( FESI ) 75%; 303.930,10 
FERRO SILICIO (FeSi) 75%; 329.226,99 
FERRO SILICIO (FeSi) 75% 10 A 60 mm; 25.046,00 
FERRO SILICIO 75; 292.465,97 
FERRO SILICIO 75% GRANULADO; 365.449,14 
FERRO SILICIO HIGH PURITY 10 X 40 MM; 135.944,34 
FERRO SILICIO HIGH PURITY 10 X 50 MM; 282.473,51 
FERRO SILICIO HIGH PURITY 10X50MM; 308.620,53 
FERRO SILICIO HIGH PURITY 10X60MM; 307.310,35 
FERRO SILICIO HIGH PURITY 3 X 50 MM; 129.805,77 
FERRO SILICIO HIGH PURITY 3X50MM; 138.541,16 
FERRO SILICIO HIGH PURITY 5 X 50MM; 315.980,56 
FERRO SILICIO HIGH PURITY 5X30 MM; 313.638,37 
FERRO SILICIO HIGH PURITY 5X50MM; 285.842,63 
FERRO SILICIO HIGH PURUTY 10 X 50 MM; 312.817,25 
FERRO SILICIO LOW AL 0x3mm; 24.794,78 
FERRO SILICIO LOW AL 10X50 MM; 77.220,70 
FERRO SILICIO LOW AL 10X50mm; 143.564,01 
FERRO SILICIO LOW AL 10X60mm; 167.836,07 
FERRO SILICIO LOW AL 2X10 MM; 242.275,59 
FERRO SILICIO LOW-AL; 77.913,35 
FERRO SILICIO MANGANES; 209.408,72 
FERRO SILICIO MANGANES - 10X60 MM; 333.919,22 
FERRO SILICIO MANGANES (FESIMN) 10 A 60 MM; 296.498,90 
FERRO SILICIO STANDARD 05 X 50 MM; 234.268,57 
FERRO SILICIO STANDARD 0X3MM; 406.546,88 
FERRO SILICIO STANDARD 10 X 40 MM; 291.931,15 
FERRO SILICIO STANDARD 10 X 50 MM; 121.544,87 
FERRO SILICIO STANDARD 10 X 50MM; 197.834,60 
FERRO SILICIO STANDARD 10 X 60 MM; 246.625,96 
FERRO SILICIO STANDARD 10X40mm ( BIGBAG); 185.604,76 
FERRO SILICIO STANDARD 10X40mm ( GRANEL); 289.090,10 
FERRO SILICIO STANDARD 10X50MM; 189.765,67 
FERRO SILICIO STANDARD 10X60; 276.894,20 
FERRO SILÍCIO STANDARD 10x60mm; 250.603,71 
FERRO SILICIO STANDARD 12X50MM; 286.060,11 
FERRO SILICIO STANDARD 1x3mm; 263.287,50 
FERRO SILICIO STANDARD 2 X 10 MM; 261.289,50 
FERRO SILICIO STANDARD 20 X 80 MM; 423.455,45 
FERRO SILICIO STANDARD 20X80MM; 423.455,45 
FERRO SILICIO STANDARD 2X10MM; 234.397,74 
FERRO SILICIO STANDARD 2X6MM; 137.838,75 
FERRO SILICIO STANDARD 30 X 120 MM; 276.082,80 
FERRO SILICIO STANDARD 30X120 MM; 298.727,93 
FERRO SILICIO STANDARD 50 X 150MM; 8.416,69 
FERRO SILICIO STANDARD 5X20 MM; 423.455,45 
FERRO SILICO MANGANES; 208.967,07 
Ferro Silico Manganes (FeSiMn) 10 a 60 mm; 297.160,32 
FERRO SILICO MANGANES (FeSiMn) FINOS; 305.664,40 
FERRO SILICO MANGANES 12/16 - GRAN. 10 A 60 MM; 271.810,49 
FERRO SILICO MANGANES 12/16 - GRANULADO; 270.869,32 
FERRO SILICO MANGANES 12/16 - GRANULADO 10MM-60MM; 274.057,37 
FERRO SILICO MANGANES 16/20   Ssp  Gran. 10 a 60 mm; 287.434,88 
FERRO SILICO MANGANES 16/20 - ESP - GRANULADO 10MM-60MM; 286.401,13 
FERROSSILICIO MANGANES 12-16%; 235.603,84 
FERT 05%N - 30%P2O5 - 04%K2O; 61.009,92 
FERT CLORETO DE POTASSIO 60 GR VERMELHO; 65.839,44 
FERT MINERAL SIMPLES; 57.449,28 
FERT P PLUS 00.28.00 MICROS GRANEL; 53.118,07 
FERT. ENXOFRE GRANULADO; 39.400,85 
FERT. NITRATO DE AMONIO E CALCIO; 54.222,55 
FERTILIZANTE; 85.540,71 
FERTILIZANTE  00%N - 00%P205; 44.165,66 
FERTILIZANTE - UREIA GRANULADA; 115.185,16 
FERTILIZANTE 0.0.40 +3,6%MG+5%S+0,25%B IMPORTADO; 63.468,94 
FERTILIZANTE 00%N - 00%P2O5 - 21,5%K2O; 90.938,38 
FERTILIZANTE 03%N - 16%P2O5 - 08%K2O; 107.800,00 
FERTILIZANTE 04%N - 14%P2O5 - 08%K2O; 60.974,14 
FERTILIZANTE 04%N - 24%P2O5 - 12%K2O; 87.838,90 
FERTILIZANTE 04%N - 30%P205 - 10%K20; 91.117,15 
FERTILIZANTE 04%N - 30%P2O5 - 10%K2O; 151.651,56 
FERTILIZANTE 05%N - 25%P2O5 - 25%K2O; 89.513,26 
FERTILIZANTE 05-20-20 ( C/00-21, SULF - GR) BBA; 78.519,24 
FERTILIZANTE 06 27 06 8CA 8,4S GRANULADO; 138.779,30 
FERTILIZANTE 06%N - 21%P2O5 - 12%K2O; 71.010,00 
FERTILIZANTE 06%N-30%P2OS-24%K20; 104.256,00 
FERTILIZANTE 06.30.12; 103.145,00 
FERTILIZANTE 07%N - 34%P2O5 - 11%K2O; 144.643,25 
FERTILIZANTE 07%N - 37%P2O5 - 06%K2O; 73.333,33 
FERTILIZANTE 07.34.11 +0,2%B +0,3%ZN SP; 55.000,00 
FERTILIZANTE 08%N - 20%P2O5 - 20%K2O; 127.680,00 
FERTILIZANTE 08%N - 24%P2O5 - 12%K2O; 83.847,60 
FERTILIZANTE 08%N - 28%P205 - 16%K20; 79.478,72 
FERTILIZANTE 09%N - 27%PO5 - 09%K2O; 117.120,00 
FERTILIZANTE 10%N - 10%P2O5 - 10%K2O; 58.755,90 
FERTILIZANTE 10%N - 15%P205 - 15%K20; 69.326,85 
FERTILIZANTE 10%N - 40%P205 - 00%K20; 56.800,32 
FERTILIZANTE 10%N 46%P2O5 0%K2O 9%S 1,8%S(SO4) CONTEM 0,2% OLEO FERT MINERAL COMPLEXO; 156.792,13 
FERTILIZANTE 10-45-00; 89.668,48 
FERTILIZANTE 11 52 00 MAP SOLIDO; 33.233,75 
FERTILIZANTE 11 52 00 MAP SOLIDO - FERTILIZANTE MINERAL; 51.750,00 
